"Title","US Gross","Worldwide Gross","US DVD Sales","Production Budget","Release Date","MPAA Rating","Running Time min","Distributor","Source","Major Genre","Creative Type","Director","Rotten Tomatoes Rating","IMDB Rating","IMDB Votes"
"Daddy Day Camp","13235267","18197398","5405521","76000000","Aug 08 2007","PG","85","Sony Pictures","Original Screenplay","Comedy","Contemporary Fiction","null","1","2.4","6809"
"Daddy Day Care","104148781","164285587","null","60000000","May 09 2003","PG","92","Sony Pictures","Original Screenplay","Comedy","Contemporary Fiction","Steve Carr","28","5.5","14944"
"The Black Dahlia","22672813","46672813","12350794","60000000","Sep 15 2006","R","121","Universal","Based on Book/Short Story","Thriller/Suspense","Historical Fiction","Brian De Palma","33","5.6","35210"
"Diary of a Mad Black Woman","50406346","50425450","null","5500000","Feb 25 2005","PG-13","116","Lionsgate","Based on Play","Drama","Contemporary Fiction","null","16","4.9","5565"
"Dance Flick","25662155","32092761","null","25000000","May 22 2009","PG-13","83","Paramount Pictures","Original Screenplay","Comedy","Contemporary Fiction","Damien Wayans","17","3.4","5002"
"Dancer, Texas Pop. 81","574838","574838","null","2300000","May 01 1998","PG","null","Sony Pictures","Original Screenplay","Comedy","Contemporary Fiction","null","80","null","null"
"Daredevil","102543518","179179718","null","80000000","Feb 14 2003","PG-13","105","20th Century Fox","Based on Comic/Graphic Novel","Action","Super Hero","Mark Steven Johnson","44","5.5","63574"
"Dark City","14435076","27257061","null","27000000","Feb 27 1998","R","null","New Line","Original Screenplay","Thriller/Suspense","Fantasy","Alex Proyas","77","7.8","62991"
"His Dark Materials: The Golden Compass","70107728","372234864","41772382","205000000","Dec 01 2007","PG-13","null","New Line","Based on Book/Short Story","Adventure","Fantasy","Chris Weitz","null","null","null"
"Donnie Darko","1270522","4116307","null","4500000","Oct 26 2001","R","null","Newmarket Films","Original Screenplay","Drama","Fantasy","Richard Kelly","84","8.3","210713"
"Dark Water","25473093","49473093","null","60000000","Jul 08 2005","PG-13","null","Walt Disney Pictures","Remake","Thriller/Suspense","Fantasy","Walter Salles","46","5.6","19652"
"Win a Date with Tad Hamilton!","16980098","16980098","null","24000000","Jan 23 2004","PG-13","null","Dreamworks SKG","Original Screenplay","Romantic Comedy","Contemporary Fiction","Robert Luketic","52","5.7","10366"
"Date Movie","48548426","84548426","18840886","20000000","Feb 17 2006","PG-13","null","20th Century Fox","Original Screenplay","Comedy","Contemporary Fiction","Jason Friedberg","6","2.6","31821"
"Date Night","98711404","152253432","19432795","55000000","Apr 09 2010","PG-13","null","20th Century Fox","Original Screenplay","Comedy","Contemporary Fiction","Shawn Levy","67","6.5","22925"
"Dawn of the Dead","58990765","102290765","null","28000000","Mar 19 2004","R","100","Universal","Remake","Horror","Science Fiction","Zack Snyder","76","7.4","73875"
"Daybreakers","30101577","48969954","11463099","20000000","Jan 08 2010","R","null","Lionsgate","Original Screenplay","Thriller/Suspense","Science Fiction","Michael Spierig","null","6.6","28241"
"Day of the Dead","0","0","null","18000000","Apr 08 2008","R","null","Warner Bros.","Remake","Horror","Fantasy","Steve Miner","null","4.5","8395"
"The Great Debaters","30226144","30226144","24133037","15000000","Dec 25 2007","PG-13","130","Weinstein Co.","Based on Real Life Events","Drama","Dramatization","Denzel Washington","79","7.6","14530"
"Double Jeopardy","116735231","177835231","null","40000000","Sep 24 1999","R","105","Paramount Pictures","Original Screenplay","Action","Contemporary Fiction","Bruce Beresford","25","6","28887"
"Der Baader Meinhof Komplex","476270","16498827","null","19700000","Aug 21 2009","R","149","Vitagraph Films","null","null","null","null","null","7.4","10383"
"Deep Blue Sea","73648228","165048228","null","60000000","Jul 28 1999","R","105","Warner Bros.","Original Screenplay","Action","Contemporary Fiction","Renny Harlin","57","5.6","44191"
"Drive Me Crazy","17843379","22591451","null","8000000","Oct 01 1999","PG-13","91","20th Century Fox","Based on Book/Short Story","Comedy","Contemporary Fiction","John Schultz","26","5.1","6968"
"Dave Chappelle's Block Party","11718595","12051924","18713941","3000000","Mar 03 2006","R","null","Focus Features","Based on Real Life Events","Documentary","Factual","Michel Gondry","null","null","null"
"Dancer in the Dark","4157491","45557491","null","12500000","Sep 22 2000","R","null","Fine Line","Original Screenplay","Musical","Contemporary Fiction","null","68","7.8","36542"
"Diary of the Dead","952620","4726656","4653193","2750000","Feb 15 2008","R","null","Weinstein Co.","Original Screenplay","Horror","Fantasy","George A. Romero","null","6","20792"
"Dear John","80014842","112014842","19179552","25000000","Feb 05 2010","PG-13","null","Sony/Screen Gems","Based on Book/Short Story","Drama","Contemporary Fiction","Lasse Hallstrom","28","7","246"
"Dear Wendy","23106","446438","null","8000000","Sep 23 2005","Not Rated","null","WellSpring","Original Screenplay","Drama","null","Thomas Vinterberg","37","6.6","5574"
"D.E.B.S.","96793","96793","null","3500000","Mar 25 2005","PG-13","null","Samuel Goldwyn Films","Original Screenplay","Action","null","Angela Robinson","null","5.1","6675"
"Deconstructing Harry","10686841","10686841","null","20000000","Dec 12 1997","R","null","Fine Line","Original Screenplay","Romantic Comedy","Contemporary Fiction","Woody Allen","70","7.2","16820"
"Mr. Deeds","126293452","171269535","null","50000000","Jun 28 2002","PG-13","96","Sony Pictures","Based on Book/Short Story","Comedy","Contemporary Fiction","null","22","5.5","39756"
"The Deep End of the Ocean","13508635","13508635","null","40000000","Mar 12 1999","PG-13","null","Sony Pictures","Based on Book/Short Story","Drama","Contemporary Fiction","null","42","6","5790"
"Deep Rising","11203026","11203026","null","45000000","Jan 30 1998","R","null","Walt Disney Pictures","Original Screenplay","Action","Contemporary Fiction","Stephen Sommers","30","5.7","12484"
"Definitely, Maybe","32241649","55534224","12928344","7000000","Feb 14 2008","PG-13","null","Universal","Original Screenplay","Romantic Comedy","Contemporary Fiction","null","71","null","null"
"Death at a Funeral","42739347","42739347","9750680","21000000","Apr 16 2010","R","null","Sony Pictures","Remake","Comedy","Contemporary Fiction","Neil LaBute","38","5.1","6628"
"DÈj‡ Vu","64038616","181038616","40502497","80000000","Nov 22 2006","PG-13","126","Walt Disney Pictures","Original Screenplay","Thriller/Suspense","Science Fiction","Tony Scott","null","7","66106"
"Delgo","915840","915840","null","40000000","Dec 12 2008","PG","88","Freestyle Releasing","Original Screenplay","Adventure","Kids Fiction","null","12","4.4","1177"
"Despicable Me","244885070","333572855","null","69000000","Jul 09 2010","PG","95","Universal","null","Comedy","null","null","80","7.7","10529"
"Deuce Bigalow: European Gigolo","22400154","44400154","null","22000000","Aug 12 2005","R","null","Sony Pictures","Original Screenplay","Comedy","Contemporary Fiction","null","10","4.3","18228"
"Deuce Bigalow: Male Gigolo","65535067","92935067","null","18000000","Dec 10 1999","R","88","Walt Disney Pictures","Original Screenplay","Comedy","Contemporary Fiction","null","23","5.6","25397"
"The Devil's Own","42885593","140900000","null","90000000","Mar 26 1997","R","null","Sony Pictures","Based on Book/Short Story","Thriller/Suspense","Contemporary Fiction","Alan J. Pakula","29","5.8","21331"
"Darkness Falls","32539681","32539681","null","7000000","Jan 24 2003","PG-13","86","Sony Pictures","Original Screenplay","Horror","Fantasy","null","8","4.6","12771"
"Defiance","28644813","42268745","13421577","50000000","Dec 31 2008","R","null","Paramount Vantage","Original Screenplay","Drama","Historical Fiction","Edward Zwick","56","5.9","362"
"A Dog of Flanders","2165637","2165637","null","7000000","Aug 27 1999","PG","null","Warner Bros.","Based on Book/Short Story","Drama","Historical Fiction","null","17","5.9","482"
"Dragonfly","30063805","30063805","null","60000000","Feb 22 2002","PG-13","104","Universal","Original Screenplay","Drama","Fantasy","Tom Shadyac","7","5.8","14098"
"The Dead Girl","19875","19875","null","3300000","Dec 29 2006","R","null","First Look","Original Screenplay","Thriller/Suspense","Contemporary Fiction","null","73","6.8","7122"
"The Lords of Dogtown","11273517","11354893","null","25000000","Jun 03 2005","PG-13","null","Sony/TriStar","Original Screenplay","Action","Dramatization","Catherine Hardwicke","null","null","null"
"Dick","6276869","6276869","null","13000000","Aug 04 1999","PG-13","null","Sony Pictures","Original Screenplay","Comedy","Historical Fiction","Andrew Fleming","70","6.1","10451"
"Live Free or Die Hard","134529403","383531464","100774964","110000000","Jun 27 2007","PG-13","128","20th Century Fox","Based on Book/Short Story","Action","Contemporary Fiction","Len Wiseman","82","7.5","130559"
"Digimon: The Movie","9628751","16628751","null","5000000","Oct 06 2000","PG","null","20th Century Fox","Based on TV","Adventure","Kids Fiction","null","null","4.6","1727"
"Dirty Work","10020081","10020081","null","13000000","Jun 12 1998","PG-13","null","MGM","Original Screenplay","Comedy","Contemporary Fiction","null","17","4.8","207"
"Banlieue 13","1200216","11208291","null","15000000","Jun 02 2006","R","85","Magnolia Pictures","Original Screenplay","Action","Science Fiction","Pierre Morel","null","7.1","21427"
"Disaster Movie","14190901","34690901","9859088","20000000","Aug 29 2008","PG-13","88","Lionsgate","Original Screenplay","Comedy","Contemporary Fiction","Jason Friedberg","2","1.7","34928"
"District 9","115646235","206552113","30058184","30000000","Aug 14 2009","R","111","Sony Pictures","Original Screenplay","Thriller/Suspense","Science Fiction","Neill Blomkamp","91","8.3","151742"
"Disturbing Behavior","17507368","17507368","null","15000000","Jul 24 1998","R","83","MGM","Original Screenplay","Thriller/Suspense","Contemporary Fiction","null","30","5.2","9394"
"Le Scaphandre et le Papillon","5990075","19689095","2354497","14000000","Nov 30 2007","PG-13","null","Miramax","Based on Book/Short Story","Drama","Dramatization","Julian Schnabel","null","8","31172"
"Dark Blue","9237470","11933396","null","15000000","Feb 21 2003","R","null","MGM","Original Screenplay","Drama","Contemporary Fiction","Ron Shelton","57","6.6","10881"
"Dreaming of Joseph Lees","7680","7680","null","3250000","Oct 29 1999","R","null","Fox Searchlight","null","null","null","null","null","5.8","520"
"De-Lovely","13337299","18396382","null","4000000","Jun 25 2004","PG-13","null","MGM","Based on Real Life Events","Drama","Historical Fiction","null","49","6.5","6086"
"Madea's Family Reunion","63257940","63308879","26508859","10000000","Feb 24 2006","PG-13","null","Lionsgate","Based on Play","Comedy","Contemporary Fiction","Tyler Perry","26","3.9","5369"
"Dead Man on Campus","15064948","15064948","null","14000000","Aug 21 1998","R","93","Paramount Pictures","Original Screenplay","Black Comedy","Contemporary Fiction","null","15","5.6","7109"
"Drowning Mona","15427192","15427192","null","16000000","Mar 03 2000","PG-13","null","Destination Films","Original Screenplay","Comedy","Contemporary Fiction","null","29","5.3","7606"
"Diamonds","81897","81897","null","11900000","Dec 10 1999","PG-13","null","Miramax","null","null","null","null","26","5.3","976"
"Doomsday","11008770","21621188","8666480","33000000","Mar 14 2008","R","null","Universal","Original Screenplay","Action","Science Fiction","null","48","6","34035"
"Donkey Punch","19367","19367","null","750000","Jan 23 2009","R","null","Magnolia Pictures","Original Screenplay","Thriller/Suspense","Contemporary Fiction","null","null","5.4","4551"
"Dinosaur","137748063","356148063","null","127500000","May 19 2000","PG","82","Walt Disney Pictures","Original Screenplay","Adventure","Kids Fiction","null","65","6.2","13962"
"DOA: Dead or Alive","480314","2670860","1370874","30000000","Jun 15 2007","PG-13","null","Weinstein/Dimension","Based on Game","Action","Fantasy","Corey Yuen","34","4.9","16646"
"Doogal","7578946","26942802","null","20000000","Dec 31 2005","G","null","Weinstein Co.","Based on TV","Adventure","Kids Fiction","null","null","2.5","2709"
"Dogma","30651422","43948865","null","10000000","Nov 12 1999","R","135","Lionsgate","Original Screenplay","Comedy","Contemporary Fiction","Kevin Smith","68","7.3","100476"
"Domestic Disturbance","45207112","45207112","null","53000000","Nov 02 2001","PG-13","89","Paramount Pictures","Original Screenplay","Thriller/Suspense","Contemporary Fiction","Harold Becker","24","5.3","10778"
"Domino","10169202","17759202","15573570","50000000","Oct 14 2005","R","133","New Line","Based on Real Life Events","Action","Dramatization","Tony Scott","19","5.9","32560"
"Donnie Brasco","41954997","55954997","null","35000000","Feb 28 1997","R","121","Sony Pictures","Based on Real Life Events","Drama","Dramatization","Mike Newell","87","7.7","65462"
"Doom","28212337","54612337","28563264","70000000","Oct 21 2005","R","null","Universal","Based on Game","Horror","Science Fiction","Andrzej Bartkowiak","19","5.2","39473"
"Doubt","33422556","50923043","12876746","20000000","Dec 12 2008","PG-13","null","Miramax","Based on Play","Drama","Historical Fiction","null","78","null","null"
"Doug's 1st Movie","19421271","19421271","null","5000000","Mar 26 1999","G","77","Walt Disney Pictures","Based on TV","Adventure","Kids Fiction","null","null","4.8","920"
"Downfall","5501940","92101940","null","13500000","Feb 18 2005","R","null","Newmarket Films","Based on Real Life Events","Drama","Dramatization","null","null","6.1","404"
"The Deep End","8823109","8823109","null","3000000","Aug 08 2001","R","null","Fox Searchlight","Based on Book/Short Story","Thriller/Suspense","Contemporary Fiction","null","81","6.6","6734"
"Deep Impact","140464664","349464664","null","80000000","May 08 1998","PG-13","120","Paramount Pictures","Original Screenplay","Adventure","Science Fiction","Mimi Leder","47","6","54160"
"The Departed","133311000","290539042","140689412","90000000","Oct 06 2006","R","152","Warner Bros.","Remake","Drama","Contemporary Fiction","Martin Scorsese","93","8.5","264148"
"Dracula 2000","33000377","33000377","null","28000000","Dec 22 2000","R","99","Miramax","Original Screenplay","Horror","Contemporary Fiction","null","15","4.8","14077"
"Death Race","36316032","72516819","24667330","65000000","Aug 22 2008","R","105","Universal","Remake","Action","Science Fiction","Paul Anderson","41","6.6","40611"
"Drag Me To Hell","42100625","85724728","13123388","30000000","May 29 2009","PG-13","99","Universal","Original Screenplay","Horror","Fantasy","Sam Raimi","92","7.1","51343"
"Crouching Tiger, Hidden Dragon","128067808","213200000","null","15000000","Dec 08 2000","PG-13","120","Sony Pictures Classics","Based on Book/Short Story","Drama","Historical Fiction","Ang Lee","null","null","null"
"Derailed","36020063","54962616","27718572","22000000","Nov 11 2005","R","null","Weinstein Co.","Based on Book/Short Story","Action","Contemporary Fiction","null","20","3.4","3317"
"Doctor Dolittle 2","112950721","176101721","null","72000000","Jun 22 2001","PG","87","20th Century Fox","Remake","Comedy","Kids Fiction","Steve Carr","null","6","2993"
"Doctor Dolittle","144156605","294156605","null","71500000","Jun 26 1998","PG-13","85","20th Century Fox","Remake","Comedy","Kids Fiction","Betty Thomas","null","5.2","25648"
"Dickie Roberts: Former Child Star","22734486","23734486","null","17000000","Sep 05 2003","PG-13","null","Paramount Pictures","Original Screenplay","Comedy","Contemporary Fiction","null","null","5.5","6949"
"Drillbit Taylor","32862104","49686263","12040874","40000000","Mar 21 2008","PG-13","null","Paramount Pictures","Original Screenplay","Comedy","Contemporary Fiction","null","26","5.9","19388"
"Driving Lessons","239962","239962","null","4700000","Oct 13 2006","PG-13","98","Sony Pictures Classics","null","null","null","null","48","6.7","5380"
"Driven","32616869","54616869","null","72000000","Apr 27 2001","PG-13","117","Warner Bros.","Original Screenplay","Action","Contemporary Fiction","Renny Harlin","13","4.2","18795"
"Darkness","22163442","34409206","null","10600000","Dec 25 2004","PG-13","null","Miramax/Dimension","Original Screenplay","Horror","Contemporary Fiction","null","4","5.3","9979"
"I Dreamed of Africa","6543194","6543194","null","34000000","May 05 2000","PG-13","null","Sony Pictures","Based on Book/Short Story","Drama","Contemporary Fiction","Hugh Hudson","9","5.2","2298"
"Dreamcatcher","33685268","75685268","null","68000000","Mar 21 2003","R","136","Warner Bros.","Based on Book/Short Story","Drama","Science Fiction","Lawrence Kasdan","30","5.3","34141"
"Dreamgirls","103365956","154965956","53674555","75000000","Dec 15 2006","PG-13","130","Paramount Pictures","Based on Musical/Opera","Musical","Historical Fiction","Bill Condon","78","6.6","28016"
"Detroit Rock City","4217115","4217115","null","16000000","Aug 13 1999","R","null","New Line","Original Screenplay","Comedy","Historical Fiction","null","47","6.4","15092"
"Drop Dead Gorgeous","10571408","10571408","null","10000000","Jul 23 1999","PG-13","null","New Line","Original Screenplay","Comedy","Contemporary Fiction","null","45","6.2","16344"
"Drumline","56398162","56398162","null","20000000","Dec 13 2002","PG-13","118","20th Century Fox","Original Screenplay","Comedy","Contemporary Fiction","null","81","5.2","18165"
"The Legend of Drunken Master","11546543","11546543","null","2000000","Oct 20 2000","R","null","Miramax","Original Screenplay","Action","Contemporary Fiction","null","null","null","null"
"Dinner Rush","638227","1075504","null","2000000","Sep 28 2001","R","null","Access Motion Picture Group","Original Screenplay","Drama","Contemporary Fiction","null","null","7.2","2991"
"The Descent","26024456","57029609","22484444","7000000","Aug 04 2006","R","99","Lionsgate","Original Screenplay","Thriller/Suspense","Contemporary Fiction","null","null","7.4","58176"
"DysFunkTional Family","2255000","2255000","null","3000000","Apr 04 2003","R","null","Miramax","Original Screenplay","Concert/Performance","Factual","null","43","5.9","501"
"The Master of Disguise","40363530","40363530","null","16000000","Aug 02 2002","PG","80","Sony Pictures","Original Screenplay","Comedy","Kids Fiction","null","2","3","10050"
"Desert Blue","99147","99147","null","5000000","Jun 04 1999","R","null","Goldwyn Entertainment","null","null","null","null","null","6","1412"
"Disturbia","80209692","117573043","34508128","20000000","Apr 13 2007","PG-13","104","Paramount Pictures","Original Screenplay","Thriller/Suspense","Contemporary Fiction","D.J. Caruso","68","7","72231"
"Double Take","29823162","29823162","null","24000000","Jan 12 2001","PG-13","88","Walt Disney Pictures","Remake","Action","Contemporary Fiction","null","12","6.8","162"
"Death at a Funeral","8580428","34743644","null","20000000","Aug 17 2007","R","90","MGM","Original Screenplay","Comedy","Contemporary Fiction","Frank Oz","61","5.1","6628"
"Deterrence","144583","371647","null","800000","Mar 10 2000","R","null","null","null","Thriller/Suspense","null","null","45","6.3","1776"
"Dirty Pretty Things","8112414","13904766","null","10000000","Jul 18 2003","R","null","Miramax","Original Screenplay","Drama","Contemporary Fiction","Stephen Frears","null","7.5","18554"
"Dudley Do-Right","9818792","9818792","null","22000000","Aug 27 1999","PG","null","Universal","Based on TV","Comedy","Kids Fiction","Hugh Wilson","14","3.6","4628"
"Duets","4734235","4734235","null","16000000","Sep 15 2000","R","null","Walt Disney Pictures","Original Screenplay","Drama","Contemporary Fiction","null","21","5.7","5340"
"The Dukes of Hazzard","80270227","110570227","null","53000000","Aug 05 2005","PG-13","105","Warner Bros.","Based on TV","Comedy","Contemporary Fiction","Jay Chandrasekhar","13","4.7","27016"
"Duma","870067","994790","null","12000000","Sep 30 2005","PG","null","Warner Bros.","Based on Book/Short Story","Adventure","null","null","93","7.2","2966"
"Dumb and Dumberer: When Harry Met Lloyd","26214846","26214846","null","30000000","Jun 13 2003","PG-13","85","New Line","Original Screenplay","Comedy","Contemporary Fiction","null","10","3.3","14813"
"Dungeons & Dragons 2: The Elemental Might","0","909822","null","15000000","Oct 08 2005","null","null","Warner Bros.","Based on Game","null","Fantasy","null","null","null","null"
"Dungeons and Dragons","15185241","33771965","null","35000000","Dec 08 2000","PG-13","null","New Line","Based on Game","Adventure","Fantasy","null","null","3.6","16954"
"Duplex","9652000","10070651","null","40000000","Sep 26 2003","PG-13","null","Miramax","Original Screenplay","Comedy","Contemporary Fiction","Danny De Vito","null","5.7","19238"
"You, Me and Dupree","75802010","130402010","41651251","54000000","Jul 14 2006","PG-13","null","Universal","Original Screenplay","Comedy","Contemporary Fiction","null","21","6.1","164"
"Devil's Advocate","61007424","153007424","null","57000000","Oct 17 1997","R","144","Warner Bros.","Based on Book/Short Story","Drama","Contemporary Fiction","Taylor Hackford","null","null","null"
"The Da Vinci Code","217536138","757236138","100178981","125000000","May 19 2006","PG-13","null","Sony Pictures","Based on Book/Short Story","Thriller/Suspense","Contemporary Fiction","Ron Howard","25","6.4","116903"
"D-War","10977721","79915361","7614486","32000000","Sep 14 2007","PG-13","90","Freestyle Releasing","Traditional/Legend/Fairytale","Action","Fantasy","null","null","3.8","14081"
"Deuces Wild","6044618","6044618","null","10000000","May 03 2002","R","null","MGM","Original Screenplay","Drama","Historical Fiction","null","3","5.3","4010"
"Down to Earth","64172251","71172251","null","30000000","Feb 16 2001","PG-13","87","Paramount Pictures","Remake","Comedy","Fantasy","Paul Weitz","19","5","9193"
"Down to You","20035310","20035310","null","9000000","Jan 21 2000","PG-13","92","Miramax","Original Screenplay","Romantic Comedy","Contemporary Fiction","null","3","4.4","7095"
"I'm Not There","4017609","11498547","6017494","20000000","Nov 21 2007","R","null","Weinstein Co.","Based on Real Life Events","Drama","Dramatization","Todd Haynes","76","7.1","23078"
"Easy A","21056221","22156221","null","8000000","Sep 17 2010","PG-13","null","Sony/Screen Gems","Based on Book/Short Story","Comedy","Contemporary Fiction","null","80","7.7","483"
"The Eclipse","133411","133411","null","3000000","Feb 26 2010","R","null","Magnolia Pictures","null","null","null","null","null","6.2","790"
"Edge of Darkness","43313890","78739628","12665512","60000000","Jan 29 2010","R","null","Warner Bros.","Based on TV","Drama","Contemporary Fiction","Martin Campbell","55","6.7","24174"
"EDtv","22508689","35319689","null","60000000","Mar 26 1999","PG-13","122","Universal","Original Screenplay","Comedy","Contemporary Fiction","Ron Howard","62","6","21734"
"An Education","12574914","14134502","1765115","7500000","Oct 09 2009","PG-13","null","Sony Pictures Classics","Based on Factual Book/Article","Drama","Dramatization","null","94","7.5","22855"
"East is East","4170647","4170647","null","3000000","Apr 14 2000","R","null","Miramax","Based on Play","Comedy","Contemporary Fiction","null","null","6.7","8351"
"8 Heads in a Duffel Bag","3602884","4002884","null","3000000","Apr 18 1997","R","null","Orion Pictures","Original Screenplay","Black Comedy","Contemporary Fiction","null","11","4.8","5127"
"Eagle Eye","101440743","178066569","38374936","80000000","Sep 26 2008","PG-13","117","Paramount Pictures","Original Screenplay","Thriller/Suspense","Contemporary Fiction","D.J. Caruso","27","6.6","52336"
"8MM","36443442","96398826","null","40000000","Feb 26 1999","R","119","Sony Pictures","Original Screenplay","Thriller/Suspense","Contemporary Fiction","Joel Schumacher","22","6.3","47753"
"Iris","5580479","15035827","null","5500000","Dec 14 2001","R","null","Miramax","Based on Book/Short Story","Drama","Dramatization","null","79","5.8","44"
"Election","14943582","14943582","null","8500000","Apr 23 1999","R","103","Paramount Pictures","Based on Book/Short Story","Black Comedy","Contemporary Fiction","Alexander Payne","92","7.4","37454"
"Elektra","24409722","56409722","null","65000000","Jan 14 2005","PG-13","null","20th Century Fox","Spin-Off","Action","Super Hero","null","10","4.9","27283"
"Elf","173398518","220443451","null","32000000","Nov 07 2003","PG","95","New Line","Original Screenplay","Comedy","Kids Fiction","Jon Favreau","84","6.8","42123"
"Elizabeth","30082699","82150642","null","25000000","Nov 06 1998","R","124","Gramercy","Based on Real Life Events","Drama","Dramatization","Shekhar Kapur","81","7.6","33773"
"Ella Enchanted","22913677","22913677","null","35000000","Apr 09 2004","PG","96","Miramax","Based on Book/Short Story","Comedy","Fantasy","null","49","6.3","12020"
"Once Upon a Time in Mexico","56330657","98156459","null","29000000","Sep 12 2003","R","102","Sony Pictures","Original Screenplay","Action","Contemporary Fiction","Robert Rodriguez","68","6.2","54413"
"The Adventures of Elmo in Grouchland","11634458","11634458","null","17000000","Oct 01 1999","G","null","Sony Pictures","Based on TV","Comedy","Kids Fiction","null","76","5.4","1059"
"The Emperor's Club","14060950","16124074","null","12500000","Nov 22 2002","PG-13","null","Universal","Based on Book/Short Story","Drama","Historical Fiction","null","50","6.7","8165"
"Empire","17504595","18495444","null","3500000","Dec 06 2002","R","null","Universal","Original Screenplay","Drama","Contemporary Fiction","null","21","6.5","63"
"La marche de l'empereur","77437223","129437223","null","3400000","Jun 24 2005","G","80","Warner Independent","Based on Real Life Events","Documentary","Factual","null","null","7.8","23674"
"Employee of the Month","28444855","38117718","21177885","10000000","Oct 06 2006","PG-13","103","Lionsgate","Original Screenplay","Comedy","Contemporary Fiction","null","20","5.4","17845"
"The Emperor's New Groove","89296573","169296573","null","100000000","Dec 15 2000","G","78","Walt Disney Pictures","Original Screenplay","Adventure","Kids Fiction","Mark Dindal","85","7.4","23355"
"Enchanted","127706877","340384141","87698079","85000000","Nov 21 2007","PG","108","Walt Disney Pictures","Original Screenplay","Romantic Comedy","Fantasy","Kevin Lima","92","7.5","55697"
"The End of the Affair","10660147","10660147","null","23000000","Dec 03 1999","R","null","Sony Pictures","Based on Book/Short Story","Drama","Historical Fiction","Neil Jordan","67","6.9","9969"
"End of Days","66889043","212026975","null","100000000","Nov 24 1999","R","120","Universal","Original Screenplay","Action","Fantasy","Peter Hyams","11","5.4","43513"
"End of the Spear","11748661","11748661","null","10000000","Jan 20 2006","PG-13","null","M Power Releasing","Original Screenplay","Drama","Historical Fiction","null","null","6.7","2884"
"Enemy at the Gates","51396781","96971293","null","85000000","Mar 16 2001","R","131","Paramount Pictures","Based on Real Life Events","Drama","Historical Fiction","Jean-Jacques Annaud","53","7.4","59916"
"Enemy of the State","111549836","250649836","null","85000000","Nov 20 1998","R","127","Walt Disney Pictures","Original Screenplay","Action","Contemporary Fiction","Tony Scott","70","7.2","66700"
"Entrapment","87707396","211700000","null","66000000","Apr 30 1999","PG-13","112","20th Century Fox","Original Screenplay","Thriller/Suspense","Contemporary Fiction","Jon Amiel","38","6.1","40764"
"Enough","39177215","39177215","null","38000000","May 24 2002","PG-13","115","Sony Pictures","Original Screenplay","Thriller/Suspense","Contemporary Fiction","Michael Apted","21","6.5","92"
"Envy","13548322","14566246","null","20000000","Apr 30 2004","PG-13","null","Dreamworks SKG","Original Screenplay","Comedy","Contemporary Fiction","Barry Levinson","7","4.6","15655"
"Epic Movie","39739367","86858578","16839362","20000000","Jan 26 2007","PG-13","86","20th Century Fox","Original Screenplay","Comedy","Contemporary Fiction","Jason Friedberg","2","2.2","48975"
"Eragon","75030163","249488115","87700229","100000000","Dec 15 2006","PG","102","20th Century Fox","Based on Book/Short Story","Adventure","Fantasy","null","16","5","43555"
"Erin Brockovich","125548685","258400000","null","50000000","Mar 17 2000","R","133","Universal","Based on Real Life Events","Drama","Dramatization","Steven Soderbergh","83","7.2","54977"
"Elizabethtown","26850426","50719373","15854391","54000000","Oct 14 2005","PG-13","133","Paramount Pictures","Original Screenplay","Drama","Contemporary Fiction","Cameron Crowe","28","6.4","31775"
"Eat Pray Love","78146373","81846373","null","60000000","Aug 13 2010","R","143","Sony Pictures","Based on Magazine Article","Drama","Contemporary Fiction","null","37","4.7","3019"
"Eternal Sunshine of the Spotless Mind","34366518","47066518","null","20000000","Mar 19 2004","R","108","Focus Features","Based on Book/Short Story","Comedy","Fantasy","Michel Gondry","93","8.5","219986"
"Eulogy","70527","70527","null","10000000","Oct 15 2004","R","null","Artisan","Original Screenplay","Comedy","null","null","32","6.6","5205"
"Eureka","49388","76654","null","2000000","May 04 2001","Not Rated","null","null","null","Drama","null","null","null","7.9","1391"
"Eurotrip","17718223","20718223","null","25000000","Feb 20 2004","R","null","Dreamworks SKG","Original Screenplay","Comedy","Contemporary Fiction","null","46","6.5","52548"
"Eve's Bayou","14843425","14843425","null","5000000","Nov 07 1997","R","109","Trimark","Original Screenplay","Drama","Historical Fiction","Kasi Lemmons","80","7","4509"
"Event Horizon","26673242","26673242","null","60000000","Aug 15 1997","R","95","Paramount Pictures","Original Screenplay","Horror","Science Fiction","Paul Anderson","21","6.3","44671"
"Ever After: A Cinderella Story","65705772","65705772","null","26000000","Jul 31 1998","PG","122","20th Century Fox","Traditional/Legend/Fairytale","Drama","Historical Fiction","Andy Tennant","null","null","null"
"Evita","50047179","151947179","null","55000000","Dec 25 1996","PG","134","Walt Disney Pictures","Based on Musical/Opera","Musical","Dramatization","Alan Parker","61","6.1","16769"
"Evolution","38311134","98341932","null","80000000","Jun 08 2001","PG-13","102","Dreamworks SKG","Original Screenplay","Comedy","Contemporary Fiction","Ivan Reitman","42","5.9","39590"
"An Everlasting Piece","75078","75078","null","4000000","Dec 25 2000","R","null","Dreamworks SKG","null","null","null","Barry Levinson","49","6","1097"
"Fong juk","51957","51957","null","4500000","Aug 31 2007","Not Rated","100","Magnolia Pictures","Original Screenplay","Action","Historical Fiction","null","null","7.3","3699"
